uptime,usr,sys,nic,idle,io,irq,sirq
2186877.96,14.8,11.8,0,70.2,0,1.9,0.9
2186889.06,14.5,9.3,0,72.9,0,2,1
2186899.75,21.8,12.5,1,61.4,1,2,0
2186910.94,22.2,13.1,1,60.6,0,2,1
2186921.17,13.1,9,0,75.7,0,2,0
2186931.34,11.8,8.9,1.9,75.2,0,1.9,0
2186942.65,11.2,11.2,0,75.5,0,1,1
2186953.07,2.1,5.2,10.5,77.8,1,2.1,1
2186964.89,5.2,7.3,0,75.7,8.4,2.1,1
2186975.70,5.8,3.9,0,89.2,0,0.9,0
2186986.12,15.3,8.1,0,74.4,0,2,0
2186996.69,15.3,8.1,0,73.4,0,3,0
2187007.15,40.6,9.8,6.5,39.5,2.1,1,0
2187017.63,10,6,3,78,0,2,1
2187027.81,8.4,18.9,12.6,58.9,0,1,0
2187037.94,26.2,9,0,61.6,0,2,1
2187048.74,15.3,13.4,0,67.3,0,2.8,0.9
2187059.52,14.1,12.1,0,71.7,0,2,0
2187069.88,12.5,9.6,0,75,0,1.9,0.9
2187080.36,14.7,12.7,0,70.5,0,0.9,0.9
2187091.21,20.7,11.3,0,63.2,0.9,2.8,0.9
2187102.09,0,2.9,0,96,0,0.9,0
