uptime,PID,%CPU,Command,args,Thread
2186877.96,4141,8.9,com.tencent.gwgo,,"om.tencent.gwgo"
2186877.96,1211,2.9,system_server,,
2186877.96,642,1.9,/vendor/bin/hw/android.hardware.graphics.composer@2.2-service,,"composer@2.2-se"
2186877.96,798,1.9,/system/bin/hwpged,,
2186877.96,676,0.9,/system/bin/surfaceflinger,,
2186877.96,1902,0.9,com.huawei.lbs,,
2186877.96,20492,0.9,com.android.bluetooth,,"droid.bluetooth"
2186877.96,958,0.9,/vendor/bin/glgps4775,"-c /data/vendor/gps/gpsconfig.xml",
2186877.96,656,0.9,/vendor/bin/hw/vendor.huawei.hardware.hwdisplay.displayengine@1.1-service,,"displayengine@1"
2186877.96,660,0.9,/vendor/bin/hw/vendor.huawei.hardware.hwsched@1.0-service,,"hwsched@1.0-ser"
2186877.96,16,0.9,[watchdog/1],,
2186877.96,4833,0.9,[kworker/u17:3],,
2186889.06,4141,11.4,com.tencent.gwgo,,"om.tencent.gwgo"
2186889.06,1211,3.1,system_server,,
2186889.06,676,2,/system/bin/surfaceflinger,,
2186889.06,656,2,/vendor/bin/hw/vendor.huawei.hardware.hwdisplay.displayengine@1.1-service,,"displayengine@1"
2186889.06,642,1,/vendor/bin/hw/android.hardware.graphics.composer@2.2-service,,"composer@2.2-se"
2186889.06,660,1,/vendor/bin/hw/vendor.huawei.hardware.hwsched@1.0-service,,"hwsched@1.0-ser"
2186889.06,6159,1,[kworker/u16:2],,
2186899.75,4141,12.1,com.tencent.gwgo,,"om.tencent.gwgo"
2186899.75,1211,5,system_server,,
2186899.75,676,3,/system/bin/surfaceflinger,,
2186899.75,656,3,/vendor/bin/hw/vendor.huawei.hardware.hwdisplay.displayengine@1.1-service,,"displayengine@1"
2186899.75,642,2,/vendor/bin/hw/android.hardware.graphics.composer@2.2-service,,"composer@2.2-se"
2186899.75,12376,2,com.tencent.mm,,
2186899.75,1839,2,com.android.systemui,,"ndroid.systemui"
2186899.75,2037,1,com.huawei.android.launcher,,"ndroid.launcher"
2186899.75,672,1,/vendor/bin/hw/vendor.huawei.hardware.wifi@1.1-service,,"wifi@1.1-servic"
2186899.75,660,1,/vendor/bin/hw/vendor.huawei.hardware.hwsched@1.0-service,,"hwsched@1.0-ser"
2186899.75,3124,1,[sugov:0],,
2186899.75,6963,1,[kworker/u16:6],,
2186899.75,18209,1,[kworker/u17:1],,
