uptime,0:8,1,2,3,4,5,6,7
2186877.96,1325,1325,1325,1325,1306,1306,1460,1460
2186889.06,1248,1248,1248,1248,1306,1306,1460,1460
2186899.75,1248,1248,1248,1248,1306,1306,1460,1460
2186910.94,1248,1248,1248,1248,1306,1306,1460,1460
2186921.17,1248,1248,1248,1248,1306,1306,1460,1460
2186931.34,1248,1248,1248,1248,1306,1306,1460,1460
2186942.65,1248,1248,1248,1248,1671,1671,1460,1460
2186953.07,1805,1805,1805,1805,1805,1805,2600,2600
2186964.89,1709,1709,1709,1709,1920,1920,2600,2600
2186975.70,830,830,830,830,826,826,1460,1460
2186986.12,1248,1248,1248,1248,1306,1306,1460,1460
2186996.69,1248,1248,1248,1248,1306,1306,1460,1460
2187007.15,1805,1805,1805,1805,1920,1920,2600,2600
2187017.63,830,830,830,830,826,826,1460,1460
2187027.81,1613,1613,1613,1613,1671,1671,1460,1460
2187037.94,1152,1152,1152,1152,1517,1517,1460,1460
2187048.74,1248,1248,1248,1248,1306,1306,1460,1460
2187059.52,1248,1248,1248,1248,1306,1306,1460,1460
2187069.88,1709,1709,1709,1709,1805,1805,2496,2496
2187080.36,1248,1248,1248,1248,1306,1306,1460,1460
2187091.21,1248,1248,1248,1248,1306,1306,1460,1460
2187102.09,830,830,830,830,826,826,1460,1460
