FU(s),LU(s),Date:SurfaceView - com.tencent.gwgo/com.tencent.gwgo.activity.MainActivity#0,FPS:60,Frames,jank,jank2,MFS(ms),OKT:100,SS(%),WN
1476563.554,1476563.855,2019-08-12 22:32:10,59.9,19,0,0,17,0,99.90,1
1476563.905,1476563.922,2019-08-12 22:32:10,60,1,0,0,17,0,100.00,1
1476605.377,1476605.627,2019-08-12 22:32:51,59.9,16,0,0,17,0,99.90,1
1476607.631,1476607.982,2019-08-12 22:32:54,59.88,22,0,0,17,0,99.88,1
1476623.443,1476623.677,2019-08-12 22:33:10,59.9,15,0,0,17,0,99.90,1
1476627.433,1476627.784,2019-08-12 22:33:14,59.89,22,0,0,17,0,99.89,1
1476628.886,1476629.137,2019-08-12 22:33:15,59.9,16,0,0,17,0,99.90,1
1476632.176,1476632.810,2019-08-12 22:33:19,58.36,38,0,0,33,0,98.36,1
1476634.380,1476634.630,2019-08-12 22:33:20,59.9,16,0,0,17,0,99.90,1
1476638.971,1476639.205,2019-08-12 22:33:25,59.89,15,0,0,17,0,99.89,1
1476645.082,1476645.416,2019-08-12 22:33:31,59.9,21,0,0,17,0,99.90,1
1476646.752,1476647.754,2019-08-12 22:33:34,41.24,42,0,0,334,1,66.75,1
1476659.170,1476659.521,2019-08-12 22:33:45,59.92,22,0,0,17,0,99.92,1
1476662.710,1476663.060,2019-08-12 22:33:49,59.89,22,0,0,17,0,99.89,1
1476679.725,1476679.975,2019-08-12 22:34:06,59.88,16,0,0,17,0,99.88,1
1476681.311,1476681.645,2019-08-12 22:34:07,59.89,21,0,0,17,0,99.89,1
1476683.014,1476683.264,2019-08-12 22:34:09,59.91,16,0,0,17,0,99.91,1
1476688.890,1476689.558,2019-08-12 22:34:15,30.68,21,0,0,351,1,55.43,1
1476689.608,1476689.975,2019-08-12 22:34:16,59.9,23,0,0,17,0,99.90,1
1476720.508,1476720.759,2019-08-12 22:34:47,59.81,16,0,0,17,0,99.81,1
1476725.717,1476725.934,2019-08-12 22:34:52,59.89,14,0,0,17,0,99.89,1
1476725.984,1476726.068,2019-08-12 22:34:52,59.88,6,0,0,17,0,99.88,1
1476737.355,1476737.522,2019-08-12 22:35:03,59.9,11,0,0,17,0,99.90,1
1476737.556,1476737.606,2019-08-12 22:35:03,59.91,4,0,0,17,0,99.91,1
1476739.927,1476740.277,2019-08-12 22:35:06,59.9,22,0,0,17,0,99.90,1
1476749.812,1476750.063,2019-08-12 22:35:16,59.89,16,0,0,17,0,99.89,1
1476757.577,1476757.928,2019-08-12 22:35:24,59.9,22,0,0,17,0,99.90,1
1476759.832,1476760.583,2019-08-12 22:35:26,49.46,38,0,0,150,1,82.27,1
1476761.435,1476761.685,2019-08-12 22:35:28,59.89,16,0,0,17,0,99.89,1
