FU(s),LU(s),Date:SurfaceView - com.tencent.gwgo/com.tencent.gwgo.activity.MainActivity#0,FPS:60,Frames,jank,jank2,MFS(ms),OKT:100,SS(%),WN
1476560.617,1476562.186,2019-08-12 22:32:08,30.27,48,0,0,33,0,70.27,1
1476562.252,1476563.805,2019-08-12 22:32:10,29.32,46,0,0,217,1,58.10,1
1476563.905,1476565.491,2019-08-12 22:32:11,59.9,96,0,0,17,0,99.90,1
1476565.558,1476567.144,2019-08-12 22:32:13,58.03,93,0,0,67,0,98.03,1
1476567.210,1476568.797,2019-08-12 22:32:15,59.88,96,0,0,19,0,99.88,1
1476568.863,1476570.449,2019-08-12 22:32:16,59.91,96,0,0,17,0,99.91,1
1476570.515,1476572.118,2019-08-12 22:32:18,59.9,97,0,0,18,0,99.90,1
1476572.202,1476573.789,2019-08-12 22:32:20,59.85,96,0,0,18,0,99.85,1
1476573.854,1476575.440,2019-08-12 22:32:21,59.91,96,0,0,17,0,99.91,1
1476575.490,1476577.093,2019-08-12 22:32:23,59.9,97,0,0,17,0,99.90,1
1476577.143,1476578.745,2019-08-12 22:32:25,58.05,94,0,0,67,0,98.05,1
1476578.795,1476580.398,2019-08-12 22:32:26,59.9,97,0,0,17,0,99.90,1
1476580.465,1476582.051,2019-08-12 22:32:28,58.65,94,0,0,50,0,98.65,1
1476582.134,1476583.737,2019-08-12 22:32:30,59.89,97,0,0,17,0,99.89,1
1476583.804,1476585.407,2019-08-12 22:32:31,59.88,97,0,0,17,0,99.88,1
1476585.457,1476587.044,2019-08-12 22:32:33,59.89,96,0,0,17,0,99.89,1
1476587.110,1476588.697,2019-08-12 22:32:35,58.02,93,0,0,67,0,98.02,1
1476588.763,1476590.349,2019-08-12 22:32:36,59.27,95,0,0,33,0,99.27,1
1476590.400,1476592.002,2019-08-12 22:32:38,59.9,97,0,0,17,0,99.90,1
1476592.052,1476593.655,2019-08-12 22:32:40,59.9,97,0,0,17,0,99.90,1
1476593.705,1476595.308,2019-08-12 22:32:41,59.9,97,0,0,18,0,99.90,1
1476595.358,1476596.944,2019-08-12 22:32:43,59.89,96,0,0,17,0,99.89,1
1476597.011,1476598.597,2019-08-12 22:32:44,59.89,96,0,0,17,0,99.89,1
1476598.664,1476600.234,2019-08-12 22:32:46,52.94,84,0,0,117,1,89.80,1
1476600.301,1476601.887,2019-08-12 22:32:48,59.26,95,0,0,33,0,99.26,1
1476601.954,1476603.540,2019-08-12 22:32:49,58.64,94,0,0,50,0,98.64,1
1476603.607,1476605.160,2019-08-12 22:32:51,59.89,94,0,0,17,0,99.89,1
1476605.260,1476606.830,2019-08-12 22:32:53,29.63,47,0,0,67,0,69.63,1
1476606.896,1476608.466,2019-08-12 22:32:54,28.99,46,0,0,83,0,68.99,1
1476608.533,1476610.119,2019-08-12 22:32:56,29.32,47,0,0,100,1,68.89,1
1476610.186,1476611.789,2019-08-12 22:32:58,30.25,49,0,0,33,0,70.25,1
1476611.856,1476613.426,2019-08-12 22:32:59,30.26,48,0,0,33,0,70.26,1
1476613.526,1476615.095,2019-08-12 22:33:01,30.26,48,0,0,33,0,70.26,1
1476615.162,1476616.748,2019-08-12 22:33:03,30.57,49,0,0,50,0,70.57,1
1476616.815,1476618.384,2019-08-12 22:33:04,30.27,48,0,0,33,0,70.27,1
1476618.484,1476620.037,2019-08-12 22:33:06,30.58,48,0,0,33,0,70.58,1
1476620.137,1476621.690,2019-08-12 22:33:08,29.31,46,0,0,83,0,69.31,1
1476621.790,1476623.343,2019-08-12 22:33:09,30.59,48,0,0,33,0,70.59,1
1476623.443,1476625.013,2019-08-12 22:33:11,30.26,48,0,0,35,0,70.26,1
1476625.079,1476626.666,2019-08-12 22:33:13,30.57,49,0,0,33,0,70.57,1
1476626.732,1476628.302,2019-08-12 22:33:14,30.26,48,0,0,33,0,70.26,1
1476628.368,1476629.955,2019-08-12 22:33:16,30.57,49,0,0,33,0,70.57,1
1476630.022,1476631.608,2019-08-12 22:33:17,29.32,47,0,0,83,0,69.32,1
1476631.675,1476633.261,2019-08-12 22:33:19,30.57,49,0,0,50,0,70.57,1
1476633.328,1476634.897,2019-08-12 22:33:21,30.26,48,0,0,33,0,70.26,1
1476659.237,1476659.788,2019-08-12 22:33:46,31.72,18,0,0,33,0,71.72,1
1476659.855,1476661.424,2019-08-12 22:33:47,30.26,48,0,0,33,0,70.26,1
1476661.491,1476663.094,2019-08-12 22:33:49,33.96,55,0,0,167,1,65.57,1
1476663.144,1476664.747,2019-08-12 22:33:51,57.42,93,0,0,82,0,97.42,1
1476664.814,1476666.400,2019-08-12 22:33:52,59.27,95,0,0,33,0,99.27,1
1476666.467,1476668.070,2019-08-12 22:33:54,59.88,97,0,0,17,0,99.88,1
1476668.120,1476669.706,2019-08-12 22:33:56,59.89,96,0,0,17,0,99.89,1
1476669.773,1476671.359,2019-08-12 22:33:57,59.88,96,0,0,18,0,99.88,1
1476671.409,1476672.996,2019-08-12 22:33:59,59.89,96,0,0,17,0,99.89,1
1476673.063,1476674.599,2019-08-12 22:34:00,56.03,87,0,0,67,0,96.03,1
1476674.716,1476676.302,2019-08-12 22:34:02,57.4,92,0,0,49,0,97.40,1
1476676.368,1476677.955,2019-08-12 22:34:04,58.64,94,0,0,50,0,98.64,1
1476678.022,1476679.591,2019-08-12 22:34:05,56.74,90,0,0,100,1,96.52,1
1476679.675,1476681.227,2019-08-12 22:34:07,29.95,47,0,0,50,0,69.95,1
1476681.311,1476682.830,2019-08-12 22:34:09,30.6,47,0,0,33,0,70.60,1
1476690.609,1476691.093,2019-08-12 22:34:17,15.98,8,0,0,184,2,41.85,1
1476691.594,1476692.830,2019-08-12 22:34:19,30.35,38,0,0,50,0,70.35,1
1476692.913,1476694.466,2019-08-12 22:34:20,30.59,48,0,0,50,0,70.59,1
1476694.566,1476696.135,2019-08-12 22:34:22,30.26,48,0,0,33,0,70.26,1
1476696.236,1476697.822,2019-08-12 22:34:24,30.57,49,0,0,50,0,70.57,1
1476697.922,1476699.491,2019-08-12 22:34:25,30.27,48,0,0,34,0,70.27,1
1476699.591,1476701.160,2019-08-12 22:34:27,23.33,37,0,0,417,1,47.59,1
1476701.244,1476702.496,2019-08-12 22:34:28,23.65,30,0,0,234,2,50.86,1
1476703.197,1476704.165,2019-08-12 22:34:30,9.14,9,0,0,417,2,29.49,1
1476704.532,1476706.068,2019-08-12 22:34:32,26.41,41,0,0,117,1,63.02,1
1476706.168,1476707.754,2019-08-12 22:34:34,24.96,40,0,0,284,1,51.50,1
1476707.854,1476709.106,2019-08-12 22:34:35,29.95,38,0,0,50,0,69.95,1
1476717.303,1476717.503,2019-08-12 22:34:43,23.04,5,0,0,67,0,63.04,1
1476718.188,1476718.906,2019-08-12 22:34:45,10.89,8,0,0,267,3,30.88,1
1476719.473,1476720.859,2019-08-12 22:34:47,20.68,29,0,0,184,2,50.17,1
1476721.059,1476722.044,2019-08-12 22:34:48,24.96,25,0,0,83,0,64.96,1
1476721.059,1476722.628,2019-08-12 22:34:48,39.93,2,0,0,33,0,79.93,1
1476722.711,1476724.264,2019-08-12 22:34:50,29.95,47,0,0,50,0,69.95,1
1476724.331,1476725.901,2019-08-12 22:34:52,22.69,36,0,0,434,1,46.74,1
1476726.034,1476727.571,2019-08-12 22:34:53,56.66,88,0,0,100,1,96.43,1
1476727.654,1476729.241,2019-08-12 22:34:55,59.89,96,0,0,17,0,99.89,1
1476729.291,1476730.895,2019-08-12 22:34:57,59.23,96,0,0,33,0,99.23,1
1476730.960,1476732.547,2019-08-12 22:34:58,58.02,93,0,0,67,0,98.02,1
1476732.613,1476734.200,2019-08-12 22:35:00,55.52,89,0,0,100,1,95.30,1
1476734.267,1476735.853,2019-08-12 22:35:02,58.64,94,0,0,33,0,98.64,1
1476735.920,1476737.506,2019-08-12 22:35:03,49.29,79,0,0,100,1,89.04,1
1476737.573,1476739.125,2019-08-12 22:35:05,30.58,48,0,0,33,0,70.58,1
1476739.226,1476740.795,2019-08-12 22:35:07,44.14,70,0,0,100,1,83.85,1
1476740.845,1476742.448,2019-08-12 22:35:08,59.89,97,0,0,18,0,99.89,1
1476742.531,1476744.118,2019-08-12 22:35:10,59.26,95,0,0,33,0,99.26,1
1476744.168,1476745.754,2019-08-12 22:35:12,58.64,94,0,0,50,0,98.64,1
1476745.821,1476747.424,2019-08-12 22:35:13,57.42,93,0,0,84,0,97.42,1
1476747.491,1476749.061,2019-08-12 22:35:15,58.62,93,0,0,50,0,98.62,1
1476749.128,1476750.714,2019-08-12 22:35:17,37.43,60,0,0,83,0,77.43,1
1476750.781,1476752.334,2019-08-12 22:35:18,30.58,48,0,0,50,0,70.58,1
1476752.400,1476753.970,2019-08-12 22:35:20,30.26,48,0,0,34,0,70.26,1
1476754.037,1476755.624,2019-08-12 22:35:21,30.56,49,0,0,50,0,70.56,1
1476755.690,1476757.260,2019-08-12 22:35:23,30.26,48,0,0,33,0,70.26,1
1476757.360,1476758.930,2019-08-12 22:35:25,29,46,0,0,67,0,69.00,1
1476758.997,1476760.600,2019-08-12 22:35:26,30.25,49,0,0,50,0,70.25,1
