uptime:5,MemFree,Buffers,Cached,Active,Inactive,Active(anon),Inactive(anon),Active(file),Inactive(file),Dirty,Writeback,Mapped,Slab
2186877.96,241148,2228,2331552,3514068,1333328,2032728,596736,1481340,736592,632,0,581916,835072
2186889.06,245276,2244,2331736,3510440,1333340,2028904,596724,1481536,736616,476,0,582472,835076
2186899.75,393764,2248,2332172,3493200,1333704,2011584,596720,1481616,736984,144,0,584704,835124
2186910.94,387340,2256,2331908,3499764,1333712,2018412,596720,1481352,736992,320,0,584868,835128
2186921.17,389712,2256,2332260,3496732,1334300,2015616,596720,1481116,737580,452,0,589796,835120
2186931.34,373192,2272,2332356,3509784,1334640,2028892,596724,1480892,737916,564,0,588040,835112
2186942.65,345384,2272,2325900,3507892,1340800,2040624,595828,1467268,744972,548,0,583236,835144
2186953.07,297004,2272,2320480,3509260,1352652,2060124,594864,1449136,757788,532,0,588544,835148
2186964.89,100956,1048,2231196,3397952,1591532,2265456,608152,1132496,983380,6904,0,690908,832816
2186975.70,77376,1056,2279900,3339620,1662164,2229552,607216,1110068,1054948,628,0,687208,836336
2186986.12,72704,1064,2269748,3344484,1662220,2245056,606780,1099428,1055440,908,0,694244,836308
2186996.69,79656,1072,2270444,3338044,1662956,2238644,606788,1099400,1056168,940,0,691748,836240
2187007.15,374432,1080,2300600,3102952,1657404,1967816,606788,1135136,1050616,31280,0,623228,836432
2187017.63,127292,1088,2540740,3746188,1260604,1975292,605824,1770896,654780,764,0,641784,836136
2187027.81,179316,1096,2492912,3714512,1252464,1993156,595432,1721356,657032,1124,0,605812,834928
2187037.94,111144,1100,2492292,3794524,1237964,2059388,595448,1735136,642516,1272,0,619408,835044
2187048.74,87796,1108,2483160,3804744,1253220,2093892,595432,1710852,657788,1844,0,629784,834984
2187059.52,95056,1108,2479192,3792656,1257956,2090676,595264,1701980,662692,1208,0,623316,834784
2187069.88,84052,1116,2477524,3794896,1263680,2100412,595160,1694484,668520,1324,0,626572,834768
2187080.36,93416,1128,2476288,3780340,1264100,2087876,595160,1692464,668940,296,0,623384,834780
2187091.21,70184,1128,2496224,3760968,1309580,2093580,595336,1667388,714244,368,0,627532,834776
2187102.09,103976,976,2289984,3488232,1447272,2183796,576332,1304436,870940,536,0,622532,831024
