uptime,.apk_mmap,.art_mmap,.dex_mmap,.jar_mmap,.oat_mmap,.so_mmap,.ttf_mmap,Ashmem,Cursor,Dalvik,Dalvik_Other,EGL_mtrack,Free_RAM,GL_mtrack,Gfx_dev,Lost_RAM,Native,Other_dev,Other_mmap,Other_mtrack,Stack,Unknown,Used_RAM,cached_kernel,cached_pss,free,kernel,used_pss
2186877.96,59733,184526,234063,6147,48385,205529,1205,3297,44,529482,134364,186564,3209194,288488,0,744391,1526947,5472,42014,0,4660,207793,5356033,2426496,549810,232888,928980,4427053
2186889.06,59547,184526,234060,6147,48385,207069,1205,3297,48,522678,134276,186564,3218870,289432,0,739560,1527163,5472,42066,0,4660,207689,5351400,2426544,550002,242324,928968,4422432
2186899.75,59220,184526,234072,6147,48385,207101,1205,3297,40,528398,134348,171204,3428356,290256,0,620763,1504311,5472,44310,0,4660,207653,5262911,2426784,608428,393144,928588,4334323
2186910.94,59558,184526,234061,6147,48385,207139,1198,3297,40,527638,134236,171204,3421391,290256,0,621029,1511639,5472,44246,0,4656,207429,5269634,2426696,608159,386536,928520,4341114
2186921.17,64066,184530,234049,6147,48385,207716,1198,3297,40,535494,134236,171204,3392834,309020,0,597281,1508991,5472,44253,0,4656,207517,5324511,2426544,582666,383624,928760,4395751
2186931.34,59556,184530,234029,6147,48384,208057,1198,3297,40,530418,134336,171204,3382576,331344,0,581206,1520391,5472,44242,0,4660,207581,5349148,2427200,582772,372604,928896,4420252
2186942.65,59550,184534,234049,6147,48385,208097,1214,3108,44,522118,134340,171204,3396589,288992,0,650513,1526615,5472,41997,0,4648,207469,5275412,2428236,608825,359528,928116,4347296
2186953.07,64526,185514,235075,6147,48441,208735,1214,3078,48,521251,134564,150676,3342282,313368,0,717396,1535371,5504,42040,0,4696,208016,5296421,2509916,609366,223000,929136,4367285
2186964.89,47587,188215,287505,6148,48325,278134,1967,3414,40,538507,143147,160824,3713858,423948,0,571717,1656407,5364,43942,0,4772,300333,5125826,2375240,1263942,74676,943280,4182546
2186975.70,46182,188336,288247,6148,48325,278436,1959,3418,40,546568,142847,161264,3695499,417792,0,639054,1608179,5376,43884,0,4772,296725,5096177,2379684,1243347,72468,943284,4152893
2186986.12,52381,188431,288294,6148,48353,278485,1959,3422,40,551454,142815,161264,3188402,420052,0,618976,1611064,5376,46145,0,4776,296717,5626306,2380768,730514,77120,941852,4684454
2186996.69,49641,187360,288255,6148,48328,278378,1959,3422,44,551911,142695,161264,3324108,437624,0,608389,1604729,5372,44880,0,4736,295873,5499898,2379552,862184,82372,941748,4558150
2187007.15,48965,188176,286277,6148,48218,227998,1951,3398,40,564419,142792,163796,3608316,334356,0,707831,1384965,5853,34677,0,4764,234656,5067800,2644740,861940,101636,940572,4127228
2187017.63,48903,189510,275621,6148,48254,247075,1943,3398,40,581349,142023,163796,3504945,337600,0,723447,1364209,5848,40202,0,4780,244646,5148624,2634324,804177,66444,939752,4208872
2187027.81,44115,187144,258103,6148,48235,227498,1915,3090,40,554036,137431,163796,3415035,340436,0,655749,1414623,5696,41348,0,4704,226809,5269822,2589532,636035,189468,932952,4336870
2187037.94,44115,187146,258392,6148,48232,239489,1915,3098,40,558500,137503,163796,3308616,358252,0,656990,1482963,5696,42776,0,4704,237169,5385040,2586256,636228,86132,933604,4451436
2187048.74,48860,187185,258408,6148,48293,244881,1915,3098,40,558396,137475,163796,3300257,364064,0,627149,1502811,5696,43008,0,4704,248277,5431933,2578540,636369,85348,933520,4498413
2187059.52,44019,187169,257716,6148,48293,245796,1915,3098,40,549996,137519,163796,3301251,385304,0,608715,1507019,5696,40884,0,4708,248281,5441833,2574972,636783,89496,933496,4508337
2187069.88,44019,187169,257728,6148,48293,245815,1915,3098,40,557448,137587,163796,3288235,388692,0,606269,1511255,5696,44079,0,4700,248313,5460203,2573136,636979,78120,933668,4526535
2187080.36,44019,187168,257731,6148,48295,245985,1915,3098,40,544696,137559,163796,3289633,391012,0,616874,1511167,5696,40896,0,4712,248261,5446824,2570604,636625,82404,933532,4513292
2187091.21,43930,187165,259985,6148,48299,246150,1879,3098,44,549876,137519,163796,3259431,391204,0,629348,1508599,5696,43023,0,4700,248281,5455472,2556164,635179,68088,933696,4521776
2187102.09,46236,188273,256043,6147,48099,245072,1409,3090,40,552309,138380,214732,3134672,360152,0,686663,1576050,5296,41788,0,4736,249197,5578765,2431304,600752,102616,934944,4643821
