uptime,0(soc_thermal),1(unknown),10(charger),11(pa_0),12(pa_1),13(dcxo0),14(rfboard),15(usb),16(shell_frame),17(shell_front),18(shell_back),19(hisi_ambient),2(usb_port),3(Battery),4(cluster0),5(cluster1),6(gpu),7(modem),8(ddr),9(system_h)
2186877.96,31264,31424,33578,25,25368,31000,34,34,31,31,-40,33976,33477,33105,31600,32050,120000,30350,29285,31530
2186889.06,31343,31635,34750,25,25447,31000,35,34,33,32,-40,35515,34742,34200,31650,32300,120000,30400,29190,31657
2186899.75,31826,31745,35315,25,25526,31000,36,35,33,33,-40,36420,35308,34700,31750,32500,120000,30500,29285,32170
2186910.94,32722,32888,35631,25,25578,31000,36,35,34,33,-40,36435,35617,34950,31850,32650,120000,30500,29380,32995
2186921.17,32864,33227,36000,25,25710,31000,37,36,35,34,-40,37349,35968,35315,31950,32800,120000,30550,29428,33085
2186931.34,32842,33481,36333,25,25710,31000,36,36,34,34,-40,37034,36356,35631,32050,32950,120000,30650,29428,33016
2186942.65,33241,33682,36333,25,25763,31000,37,37,35,34,-40,36873,36278,35578,32200,33105,120000,30700,29523,33608
2186953.07,33557,33894,36500,25,25842,31000,44,48,36,36,-40,39445,36530,35789,32300,33210,120000,30750,29571,33685
2186964.89,33500,34096,38500,25,25894,31000,43,46,38,39,-40,45415,38225,37333,32400,33368,120000,30800,29619,33796
2186975.70,33468,34223,37888,25,25947,31000,36,36,35,35,-40,37716,37943,37000,32550,33631,120000,30850,29666,33851
2186986.12,34506,35000,37666,25,25973,31000,38,38,37,36,-40,39174,37711,36833,32700,33736,120000,30950,29666,34873
2186996.69,34125,35317,37611,25,26052,31000,38,38,37,36,-40,38960,37624,36777,32750,33789,120000,31000,29761,34485
2187007.15,34169,34883,37777,25,26105,32000,45,53,37,38,-40,42321,37774,36944,32900,33947,120000,31050,29809,34440
2187017.63,34175,34879,38055,25,26157,32000,37,37,35,36,-40,45658,37804,37222,32950,34000,120000,31100,29809,34568
2187027.81,34148,35154,38388,25,26210,32000,40,41,37,37,-40,44102,38405,37444,33052,34100,120000,31150,29857,34559
2187037.94,34398,35446,38166,25,26236,32000,41,41,37,37,-40,41722,38178,37333,33210,34200,120000,31200,29904,34819
2187048.74,34842,35456,38333,25,26368,32000,40,39,38,37,-40,40532,38333,37500,33263,34350,120000,31250,29952,35081
2187059.52,34706,35295,38500,25,26394,32000,40,39,38,37,-40,41277,38543,37666,33368,34400,120000,31350,30050,34973
2187069.88,34802,35436,38666,25,26473,32000,41,41,38,38,-40,41645,38652,37833,33473,34550,120000,31400,30050,35096
2187080.36,34804,35577,38555,25,26473,32000,38,38,37,36,-40,39809,38589,37777,33578,34600,120000,31450,30100,35213
2187091.21,35314,35609,38444,25,26526,32000,39,39,37,36,-40,39105,38434,37666,33631,34700,120000,31550,30100,35270
2187102.09,34961,35872,38388,25,26526,33000,36,36,35,35,-40,37943,38413,37555,33684,34600,120000,31550,30150,35181
