 4141 10133     0:02 {om.tencent.gwgo} com.tencent.gwgo
 4146 10133     0:00 {Jit thread pool} com.tencent.gwgo
 4147 10133     0:00 {Signal Catcher} com.tencent.gwgo
 4148 10133     0:00 {ReferenceQueueD} com.tencent.gwgo
 4149 10133     0:00 {FinalizerDaemon} com.tencent.gwgo
 4150 10133     0:00 {FinalizerWatchd} com.tencent.gwgo
 4151 10133     0:01 {HeapTaskDaemon} com.tencent.gwgo
 4152 10133     0:00 {Binder:4141_1} com.tencent.gwgo
 4153 10133     0:00 {Binder:4141_2} com.tencent.gwgo
 4158 10133     0:00 {Profile Saver} com.tencent.gwgo
 4162 10133     0:00 {Binder:4141_3} com.tencent.gwgo
 4167 10133     0:00 {Binder:4141_4} com.tencent.gwgo
 4168 10133     0:00 {Timer-0} com.tencent.gwgo
 4182 10133     0:00 {BuglyThread-1} com.tencent.gwgo
 4183 10133     0:00 {BuglyThread-2} com.tencent.gwgo
 4184 10133     0:00 {BuglyThread-3} com.tencent.gwgo
 4185 10133     0:00 {FileObserver} com.tencent.gwgo
 4186 10133     0:00 {Thread-8} com.tencent.gwgo
 4228 10133     0:00 {asyncProcessor} com.tencent.gwgo
 4235 10133     0:00 {ConnectivityThr} com.tencent.gwgo
 4238 10133     0:54 {UnityMain} com.tencent.gwgo
 4261 10133     0:00 {Thread-489} com.tencent.gwgo
 4322 10133     0:00 {SoundPool} com.tencent.gwgo
 4323 10133     0:00 {SoundPoolThread} com.tencent.gwgo
 4341 10133     0:00 {ent.File.Tracer} com.tencent.gwgo
 4357 10133     0:00 {StatService} com.tencent.gwgo
 4360 10133     0:00 {nt} com.tencent.gwgo
 4364 10133     0:00 {StatStore} com.tencent.gwgo
 4369 10133     0:00 {StatDispatcher} com.tencent.gwgo
 4377 10133     0:00 {om.tencent.gwgo} com.tencent.gwgo
 4395 10133     0:00 {Okio Watchdog} com.tencent.gwgo
 4406 10133     0:00 {Thread-17} com.tencent.gwgo
 4415 10133     0:00 {specialhttpdns-} com.tencent.gwgo
 4416 10133     0:00 {.working.thread} com.tencent.gwgo
 4423 10133     0:00 {queued-work-loo} com.tencent.gwgo
 4440 10133     0:00 {XgStat} com.tencent.gwgo
 4473 10133     0:00 {beacon-thread-1} com.tencent.gwgo
 4482 10133     0:00 {pool-1-thread-1} com.tencent.gwgo
 4483 10133     0:00 {pool-1-thread-2} com.tencent.gwgo
 4485 10133     0:02 {ID_DEAFULT} com.tencent.gwgo
 4495 10133     0:00 {beacon-thread-2} com.tencent.gwgo
 4500 10133     0:00 {apkupdate_asyct} com.tencent.gwgo
 4502 10133     0:00 {pool-1-thread-3} com.tencent.gwgo
 4505 10133     0:00 {downloadStateCh} com.tencent.gwgo
 4514 10133     0:00 {beacon-thread-3} com.tencent.gwgo
 4516 10133     0:00 {ID_BEACON_REPOR} com.tencent.gwgo
 4521 10133     0:00 {TbsHandlerThrea} com.tencent.gwgo
 4554 10133     0:00 {d_thread} com.tencent.gwgo
 4564 10133     0:00 {halley_100_Temp} com.tencent.gwgo
 4568 10133     0:00 {halley_100_Http} com.tencent.gwgo
