Path,Command,CPU
D:\tmp\test\com.tencent.gwgo,com.tencent.gwgo,26.4
D:\tmp\test\com.tencent.gwgo,com.tencent.gwgo:xg_service_v4,14.8
D:\tmp\test\com.tencent.gwgo,system_server,13.6
D:\tmp\test\com.tencent.gwgo,com.huawei.health:DaemonService,10.3
D:\tmp\test\com.tencent.gwgo,/system/bin/surfaceflinger,5.2
D:\tmp\test\com.tencent.gwgo,/vendor/bin/hw/vendor.huawei.hardware.hwdisplay.displayengine@1.1-service,3.0
D:\tmp\test\com.tencent.gwgo,/vendor/bin/hw/android.hardware.graphics.composer@2.2-service,2.1
D:\tmp\test\com.tencent.gwgo,com.tencent.mm,2.1
D:\tmp\test\com.tencent.gwgo,com.android.systemui,2.1
D:\tmp\test\com.tencent.gwgo,/system/bin/hwpged,2.0
D:\tmp\test\com.tencent.gwgo,com.android.bluetooth,2.0
D:\tmp\test\com.tencent.gwgo,/vendor/bin/glgps4775,2.0
D:\tmp\test\com.tencent.gwgo,/system/bin/audioserver,2.0
D:\tmp\test\com.tencent.gwgo,/vendor/bin/hw/vendor.huawei.hardware.hwsched@1.0-service,1.0
D:\tmp\test\com.tencent.gwgo,[kworker/u17:3],1.0
D:\tmp\test\com.tencent.gwgo,[kworker/u16:2],1.0
D:\tmp\test\com.tencent.gwgo,com.huawei.android.launcher,1.0
D:\tmp\test\com.tencent.gwgo,/vendor/bin/hw/vendor.huawei.hardware.wifi@1.1-service,1.0
D:\tmp\test\com.tencent.gwgo,[sugov:0],1.0
D:\tmp\test\com.tencent.gwgo,[kworker/u16:6],1.0
D:\tmp\test\com.tencent.gwgo,[kworker/u17:1],1.0
D:\tmp\test\com.tencent.gwgo,com.google.android.gms.persistent,1.0
D:\tmp\test\com.tencent.gwgo,/vendor/bin/hw/vendor.huawei.hardware.audio@4.0-service,1.0
D:\tmp\test\com.tencent.gwgo,/vendor/bin/hw/android.hardware.bluetooth@1.0-service,1.0
D:\tmp\test\com.tencent.gwgo,/vendor/bin/hw/vendor.huawei.hardware.gnss@1.1-service,1.0
D:\tmp\test\com.tencent.gwgo,/system/bin/servicemanager,1.0
D:\tmp\test\com.tencent.gwgo,[rcu_preempt],1.0
D:\tmp\test\com.tencent.gwgo,[core_ctl/6],1.0
D:\tmp\test\com.tencent.gwgo,[kworker/2:0],1.0
D:\tmp\test\com.tencent.gwgo,/vendor/bin/hw/vendor.huawei.hardware.dolby.dms@1.0-service,1.0
D:\tmp\test\com.tencent.gwgo,[kworker/u16:7],1.0
D:\tmp\test\com.tencent.gwgo,[kworker/u16:3],1.0
D:\tmp\test\com.tencent.gwgo,/system/bin/logd,1.0
D:\tmp\test\com.tencent.gwgo,/vendor/bin/hw/vendor.huawei.hardware.sensors@1.0-service,1.0
D:\tmp\test\com.tencent.gwgo,[migration/1],1.0
D:\tmp\test\com.tencent.gwgo,/system/bin/dubaid,1.0
D:\tmp\test\com.tencent.gwgo,[ksoftirqd/6],1.0
D:\tmp\test\com.tencent.gwgo,[kworker/u16:0],1.0
D:\tmp\test\com.tencent.gwgo,[kworker/u17:2],1.0
D:\tmp\test\com.tencent.gwgo,/system/bin/netd,1.0
D:\tmp\test\com.tencent.gwgo,[kworker/u16:9],1.0
D:\tmp\test\com.tencent.gwgo,[sugov:4],1.0
D:\tmp\test\com.tencent.gwgo,/system/bin/thermal-daemon,1.0
D:\tmp\test\com.tencent.gwgo,com.huawei.lbs,0.9
D:\tmp\test\com.tencent.gwgo,[watchdog/1],0.9
D:\tmp\test\com.tencent.gwgo,[kworker/u16:8],0.9
D:\tmp\test\com.tencent.gwgo,com.android.phone,0.9
D:\tmp\test\com.tencent.gwgo,com.huawei.powergenie,0.9
D:\tmp\test\com.tencent.gwgo,[mailbox-16],0.9
D:\tmp\test\com.tencent.gwgo,[ksoftirqd/1],0.9
D:\tmp\test\com.tencent.gwgo,[kworker/u16:4],0.9
D:\tmp\test\com.tencent.gwgo,com.huawei.android.FloatTasks,0.9
D:\tmp\test\com.tencent.gwgo,[bbox_main],0.9
D:\tmp\test\com.tencent.gwgo,[kswapd0],0.9
D:\tmp\test\com.tencent.gwgo,com.eg.android.AlipayGphone,0.6
D:\tmp\test\com.tencent.gwgo,com.tencent.radio:service,0.6
D:\tmp\test\com.tencent.gwgo,com.huawei.hiview,0.6
