Path,Command,Pss Difference(M),Pss(M)
D:\tmp\test\com.tencent.gwgo,com.tencent.gwgo,365.06,540.62
D:\tmp\test\com.tencent.gwgo,com.tencent.mm,210.87,311.4
D:\tmp\test\com.tencent.gwgo,com.huawei.android.launcher,70.11,211.39
D:\tmp\test\com.tencent.gwgo,system,69.97,378.26
D:\tmp\test\com.tencent.gwgo,vendor.huawei.hardware.biometrics.hwfacerecognize@1.1-service,40.6,49.05
D:\tmp\test\com.tencent.gwgo,com.huawei.hiai.nlu,38.75,52.53
D:\tmp\test\com.tencent.gwgo,com.huawei.systemserver,38.68,44.34
D:\tmp\test\com.tencent.gwgo,android.hardware.graphics.composer@2.2-service,29.03,262.06
D:\tmp\test\com.tencent.gwgo,/init,24.61,25.22
D:\tmp\test\com.tencent.gwgo,com.huawei.systemmanager:service,24.49,46.27
D:\tmp\test\com.tencent.gwgo,com.android.systemui,21.84,302.46
D:\tmp\test\com.tencent.gwgo,com.huawei.HwOPServer,21.77,38.96
D:\tmp\test\com.tencent.gwgo,com.google.android.gms.persistent,20.52,33.31
D:\tmp\test\com.tencent.gwgo,android.hardware.graphics.allocator@2.0-service,20.48,100.03
D:\tmp\test\com.tencent.gwgo,CameraDaemon,18.99,63.47
D:\tmp\test\com.tencent.gwgo,com.tencent.mm:appbrand0,18.65,104.66
D:\tmp\test\com.tencent.gwgo,com.google.android.gms,13.12,34.36
D:\tmp\test\com.tencent.gwgo,com.huawei.recsys,12.44,30.91
D:\tmp\test\com.tencent.gwgo,com.huawei.lbs,10.88,47.8
D:\tmp\test\com.tencent.gwgo,com.tencent.mm:appbrand1,7.41,50.76
D:\tmp\test\com.tencent.gwgo,com.huawei.hiaction,6.94,15.57
D:\tmp\test\com.tencent.gwgo,com.huawei.health:DaemonService,6.75,27.87
D:\tmp\test\com.tencent.gwgo,com.android.gallery3d,6.43,66.26
D:\tmp\test\com.tencent.gwgo,com.tencent.mobileqq:MSF,5.74,21.38
D:\tmp\test\com.tencent.gwgo,com.android.mms,5.27,117.33
D:\tmp\test\com.tencent.gwgo,com.tencent.mm:sandbox,4.87,28.66
D:\tmp\test\com.tencent.gwgo,com.android.phone,4.59,37.83
D:\tmp\test\com.tencent.gwgo,com.tencent.mm:push,4.47,26.06
D:\tmp\test\com.tencent.gwgo,com.huawei.powergenie,3.57,29.6
D:\tmp\test\com.tencent.gwgo,com.huawei.hiview,3.54,35.01
D:\tmp\test\com.tencent.gwgo,com.huawei.nearby,3.32,8.52
D:\tmp\test\com.tencent.gwgo,com.huawei.hwid.persistent,2.88,36.85
D:\tmp\test\com.tencent.gwgo,com.huawei.hiai,2.87,8.84
D:\tmp\test\com.tencent.gwgo,com.google.android.wearable.app.cn:background,2.77,35.92
D:\tmp\test\com.tencent.gwgo,com.tencent.mm:toolsmp,2.66,85.21
D:\tmp\test\com.tencent.gwgo,com.eg.android.AlipayGphone,2.15,358.06
D:\tmp\test\com.tencent.gwgo,com.android.providers.calendar,2.13,8.21
D:\tmp\test\com.tencent.gwgo,com.tencent.radio,2.09,98.72
D:\tmp\test\com.tencent.gwgo,com.huawei.hiai.engineservice,1.81,8.92
D:\tmp\test\com.tencent.gwgo,com.huawei.bone,1.77,9.38
D:\tmp\test\com.tencent.gwgo,com.huawei.pengine,1.66,10.18
D:\tmp\test\com.tencent.gwgo,com.huawei.systemmanager,1.64,17.92
D:\tmp\test\com.tencent.gwgo,com.huawei.hidisk,1.45,25.3
D:\tmp\test\com.tencent.gwgo,com.tencent.mm:exdevice,1.04,16.08
D:\tmp\test\com.tencent.gwgo,com.android.bluetooth,0.87,14.73
D:\tmp\test\com.tencent.gwgo,com.huawei.trustspace,0.81,5.9
D:\tmp\test\com.tencent.gwgo,com.huawei.hwid,0.74,49.23
D:\tmp\test\com.tencent.gwgo,com.huawei.skytone,0.63,28.91
D:\tmp\test\com.tencent.gwgo,com.eg.android.AlipayGphone:push,0.52,33.99
D:\tmp\test\com.tencent.gwgo,com.tencent.radio:service,0.5,17.16
D:\tmp\test\com.tencent.gwgo,com.huawei.camera,0.43,78.74
D:\tmp\test\com.tencent.gwgo,surfaceflinger,0.41,35.94
D:\tmp\test\com.tencent.gwgo,com.eg.android.AlipayGphone:sandboxed_privilege_process0,0.41,52.32
D:\tmp\test\com.tencent.gwgo,mediaserver,0.4,6.27
D:\tmp\test\com.tencent.gwgo,zygote64,0.39,4.83
D:\tmp\test\com.tencent.gwgo,com.huawei.vassistant,0.38,8.14
D:\tmp\test\com.tencent.gwgo,com.tencent.radio:play,0.38,20.96
D:\tmp\test\com.tencent.gwgo,com.huawei.intelligent,0.34,65.36
